implementation,balls,workers,steps,seed,meanElapsedMs,medianElapsedMs,stdElapsedMs,meanThroughput,medianThroughput,stdThroughput,meanCoordinationMs,medianCoordinationMs,stdCoordinationMs,meanCoordinationRatio,medianCoordinationRatio,stdCoordinationRatio,meanTasksSubmitted
sequential,1000,1,600,42,160.527620,160.722200,5.787734,3742.498593,3733.149496,133.853242,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
sequential,1500,1,600,42,228.585100,218.556400,14.151323,2634.652765,2745.286800,158.492851,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
sequential,2000,1,600,42,336.706900,333.998300,7.562310,1782.841399,1796.416329,39.013637,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
sequential,2500,1,600,42,446.579680,442.005000,7.739703,1343.945096,1357.450708,23.073564,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
threads,1000,16,600,42,126.276220,121.993400,7.342039,4767.256586,4918.298859,271.241760,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
threads,1500,16,600,42,148.087080,147.914400,0.687441,4051.757379,4056.400188,18.793081,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
threads,2000,16,600,42,189.412800,189.030400,3.828728,3168.957780,3174.092633,62.998827,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
threads,2500,16,600,42,255.342940,248.308800,16.129394,2358.916853,2416.346098,144.739204,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
executor,1000,16,600,42,123.678380,122.503200,3.964927,4856.242027,4897.831240,154.447592,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
executor,1500,16,600,42,152.292880,152.440200,0.744694,3939.871450,3935.969646,19.296455,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
executor,2000,16,600,42,194.420920,195.070600,1.294762,3086.225677,3075.809476,20.726322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
executor,2500,16,600,42,242.960700,242.861100,1.031910,2469.579732,2470.547980,10.485774,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
