implementation,balls,workers,steps,seed,meanElapsedMs,medianElapsedMs,stdElapsedMs,meanThroughput,medianThroughput,stdThroughput,meanCoordinationMs,medianCoordinationMs,stdCoordinationMs,meanCoordinationRatio,medianCoordinationRatio,stdCoordinationRatio,meanTasksSubmitted
sequential,2500,1,1000,42,729.293160,729.271900,5.716539,1371.275354,1371.230675,10.799895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
threads,2500,1,1000,42,1194.744180,1191.128100,7.208574,837.029675,839.540264,5.040288,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
threads,2500,2,1000,42,740.926780,727.417900,20.869309,1350.717810,1374.725588,37.521969,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
threads,2500,4,1000,42,465.720980,462.996100,8.103838,2147.860574,2159.845407,37.483576,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
threads,2500,8,1000,42,365.821460,367.905900,7.331844,2734.676852,2718.086337,55.042992,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
threads,2500,16,1000,42,383.580860,383.085100,2.298360,2607.105486,2610.386047,15.561000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
threads,2500,17,1000,42,393.120000,394.274000,4.003505,2544.016990,2536.307238,25.968046,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
executor,2500,1,1000,42,1178.177380,1179.404400,8.979767,848.818079,847.885594,6.488135,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
executor,2500,2,1000,42,730.074720,726.827100,16.307729,1370.401104,1375.843031,30.369624,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
executor,2500,4,1000,42,499.705720,496.534100,11.914802,2002.287371,2013.960370,46.543595,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
executor,2500,8,1000,42,389.622600,384.893900,8.244814,2567.717965,2598.118598,53.487058,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
executor,2500,16,1000,42,388.140840,387.360200,2.945807,2576.531860,2581.576527,19.431586,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
executor,2500,17,1000,42,420.450940,415.197800,16.274334,2381.803530,2408.490604,87.990859,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
