implementation,balls,workers,steps,seed,runIndex,warmup,elapsedMs,throughput,coordinationMs,coordinationRatio,tasksSubmitted,stateHash,jvm,os,availableProcessors
sequential,1000,1,600,42,1,false,163.777600,3663.504655,0.000000,0.000000,0,6613214629035789943,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
sequential,1000,1,600,42,2,false,155.090400,3868.711410,0.000000,0.000000,0,6613214629035789943,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
sequential,1000,1,600,42,3,false,160.722200,3733.149496,0.000000,0.000000,0,6613214629035789943,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
sequential,1000,1,600,42,4,false,153.607500,3906.059274,0.000000,0.000000,0,6613214629035789943,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
sequential,1000,1,600,42,5,false,169.440400,3541.068128,0.000000,0.000000,0,6613214629035789943,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,1000,16,600,42,1,false,136.219300,4404.662188,0.000000,0.000000,0,6613214629035789943,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,1000,16,600,42,2,false,134.093100,4474.503162,0.000000,0.000000,0,6613214629035789943,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,1000,16,600,42,3,false,121.993400,4918.298859,0.000000,0.000000,0,6613214629035789943,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,1000,16,600,42,4,false,119.090400,5038.189476,0.000000,0.000000,0,6613214629035789943,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,1000,16,600,42,5,false,119.984900,5000.629246,0.000000,0.000000,0,6613214629035789943,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,1000,16,600,42,1,false,126.333200,4749.345382,0.000000,0.000000,0,6613214629035789943,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,1000,16,600,42,2,false,129.783800,4623.073142,0.000000,0.000000,0,6613214629035789943,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,1000,16,600,42,3,false,121.323100,4945.472049,0.000000,0.000000,0,6613214629035789943,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,1000,16,600,42,4,false,122.503200,4897.831240,0.000000,0.000000,0,6613214629035789943,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,1000,16,600,42,5,false,118.448600,5065.488322,0.000000,0.000000,0,6613214629035789943,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
sequential,1500,1,600,42,1,false,249.449300,2405.298391,0.000000,0.000000,0,-345014307996661997,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
sequential,1500,1,600,42,2,false,241.790000,2481.492204,0.000000,0.000000,0,-345014307996661997,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
sequential,1500,1,600,42,3,false,218.556400,2745.286800,0.000000,0.000000,0,-345014307996661997,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
sequential,1500,1,600,42,4,false,215.547500,2783.609181,0.000000,0.000000,0,-345014307996661997,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
sequential,1500,1,600,42,5,false,217.582300,2757.577248,0.000000,0.000000,0,-345014307996661997,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,1500,16,600,42,1,false,148.884000,4029.983074,0.000000,0.000000,0,-345014307996661997,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,1500,16,600,42,2,false,147.382700,4071.034117,0.000000,0.000000,0,-345014307996661997,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,1500,16,600,42,3,false,147.914400,4056.400188,0.000000,0.000000,0,-345014307996661997,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
