implementation,balls,workers,steps,seed,runIndex,warmup,elapsedMs,throughput,coordinationMs,coordinationRatio,tasksSubmitted,jvm,os,availableProcessors
sequential,2500,1,1000,42,1,false,802.658500,1245.859852,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
sequential,2500,1,1000,42,2,false,793.729600,1259.874899,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
sequential,2500,1,1000,42,3,false,760.588200,1314.771909,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
sequential,2500,1,1000,42,4,false,772.389500,1294.683576,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
sequential,2500,1,1000,42,5,false,757.086200,1320.853557,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2500,1,1000,42,1,false,1207.353200,828.258044,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2500,1,1000,42,2,false,1197.249400,835.247861,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2500,1,1000,42,3,false,1194.242100,837.351154,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2500,1,1000,42,4,false,1200.451700,833.019771,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2500,1,1000,42,5,false,1199.293400,833.824317,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2500,2,1000,42,1,false,782.950800,1277.219463,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2500,2,1000,42,2,false,725.577500,1378.212527,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2500,2,1000,42,3,false,779.647400,1282.631097,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2500,2,1000,42,4,false,740.162700,1351.054302,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2500,2,1000,42,5,false,737.275700,1356.344716,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2500,4,1000,42,1,false,494.164700,2023.616822,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2500,4,1000,42,2,false,471.014500,2123.076890,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2500,4,1000,42,3,false,479.095400,2087.266962,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2500,4,1000,42,4,false,476.180600,2100.043555,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2500,4,1000,42,5,false,504.687800,1981.422971,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2500,8,1000,42,1,false,444.383900,2250.306548,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2500,8,1000,42,2,false,428.847800,2331.829614,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2500,8,1000,42,3,false,428.531700,2333.549653,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2500,8,1000,42,4,false,448.246100,2230.917347,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2500,8,1000,42,5,false,421.768700,2370.967784,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2500,16,1000,42,1,false,427.330600,2340.108572,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2500,16,1000,42,2,false,407.525200,2453.835984,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2500,16,1000,42,3,false,403.164400,2480.377732,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2500,16,1000,42,4,false,411.823200,2428.226482,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2500,16,1000,42,5,false,406.451000,2460.321170,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2500,17,1000,42,1,false,428.084500,2335.987404,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2500,17,1000,42,2,false,427.864700,2337.187433,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2500,17,1000,42,3,false,427.008600,2341.873208,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2500,17,1000,42,4,false,426.163700,2346.516139,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
threads,2500,17,1000,42,5,false,425.401500,2350.720437,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,1,1000,42,1,false,1211.517600,825.411038,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,1,1000,42,2,false,1222.459000,818.023345,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
executor,2500,1,1000,42,3,false,1220.044200,819.642436,0.000000,0.000000,0,OpenJDK 64-Bit Server VM 17.0.19+10,Windows 11 10.0 amd64,16
